                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       1                                      472                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.0000000000000001E-005                  1.0000000000000001E-005                  4.1474249504581812E+003                  9.0282869916378022E+003                  1.8403429712744830E+002                 -1.1964771493677276E+001                  7.0000000000000007E-001                  2.9797635251138482E-005                  2.7997020236474890E-001                  3.4468833607861379E-003                  1.0103427409336068E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  1.5000000000000002E+001                  0.0000000000000000E+000                  1.0499999999999998E+001                  4.4696452876707770E-004                  4.1995530354712329E+000                  5.1703250411792051E-002                  1.5155141114004110E-002                  1.4070791467724322E-001                  3.1275366358125549E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4514832955897609E+006                  3.1890351306706011E+003                  1.6614447473693883E+007                  1.4223266744315688E-017                  1.4223266744315688E-017                  0.0000000000000000E+000                  5.6902479637219306E-019                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1557600000000002E+002                               "r23.05.1"                               "gfortran"                                 "13.1.0"                  "aarch64-macos-23.10.1"                                 "CRMATH"                               "20231122"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.5000000000000002E+001                  2.2648987668419740E+000                  3.6177785404669347E+000                 -8.3918867446908916E+000                  3.0300257629394407E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  5.9483192228419803E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.4999999999985002E+001                  2.2648987667208869E+000                  3.6177785792348809E+000                 -8.3918864733713345E+000                  3.0300260729748980E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  5.9483229392030894E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.4999999999869484E+001                  2.2648987657883826E+000                  3.6177786907503808E+000                 -8.3918856929258610E+000                  3.0300269647861642E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  5.9483336292570655E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.4999999999609571E+001                  2.2648987636902524E+000                  3.6177788966254338E+000                 -8.3918842521085164E+000                  3.0300286112021868E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  5.9483533647223678E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.4999999999176381E+001                  2.2648987601933821E+000                  3.6177793341108737E+000                 -8.3918811903932493E+000                  3.0300321098156209E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002                  5.9483953025078603E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.4999999998136728E+001                  2.2648987518009545E+000                  3.6177801919301751E+000                 -8.3918751871160815E+000                  3.0300389697606818E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  5.9484775331386879E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.4999999996288457E+001                  2.2648987368812827E+000                  3.6177818389589476E+000                 -8.3918636611419419E+000                  3.0300521405532699E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  5.9486354147802400E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.4999999992591913E+001                  2.2648987070427302E+000                  3.6177851330795994E+000                 -8.3918406104492860E+000                  3.0300784809474464E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  5.9489511734345421E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.4999999985198823E+001                  2.2648986473687751E+000                  3.6177917215733033E+000                 -8.3917945140857402E+000                  3.0301311569724976E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  5.9495826722282957E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
